Age;VRExperience;width;height;fov;fps;antialiasing;textures;saturation;brightness;contrast;sharpness;shadowStrength;reflections;modelsDetail;dof;particles;ambientSound;reverbZone;won;zombiesKilled;time;VisualImmersion
20;2;531.749;295.4161;74;58;1;0;0.06014693;-0.4741123;-0.3746709;0.2614532;0.6737505;0;1;0;0;1;1;0;18;63;15
20;2;285.4501;158.5834;41;45;1;1;0.7731271;0.5588045;0.484827;0.3004956;0.6596713;1;0;1;0;1;1;1;43;90;2
20;2;439.7927;244.3293;72;32;1;0;0.5445306;-0.7575002;0.3056965;0.6117774;0.06288636;1;1;1;0;1;1;0;18;66;12
20;2;1116.842;620.4678;35;50;0;0;0.9282947;-0.1875968;0.695779;0.5072038;0.5217093;0;1;1;1;1;0;0;30;81;15
20;2;1153.717;640.9537;90;17;0;1;0.4951298;-0.4505286;-0.509671;0.7239097;0.6987795;1;0;1;0;1;0;0;35;86;10
19;2;868.7336;482.6298;91;20;1;0;0.4657054;-0.6701239;-0.3021573;0.9766555;0.8248912;1;1;0;0;1;1;0;24;75;85
19;2;1299.34;721.8555;75;41;0;1;-0.3676778;-0.1052508;-0.3857953;0.09610975;0.211599;0;0;1;0;1;0;1;46;90;82
19;2;1718.312;954.6179;47;38;0;0;0.421715;-0.7841427;-0.2891379;0.7641518;0.5160198;1;1;1;1;1;0;0;23;72;96
19;2;1278.655;710.364;62;17;1;1;0.3833098;-0.2787787;-0.09381473;0.2271624;0.5947468;0;1;0;0;1;1;0;29;81;100
19;2;879.6993;488.7219;64;16;1;0;0.288198;-0.7874337;0.731028;0.5811978;0.9725612;0;0;1;0;1;0;1;41;90;64
19;2;2146.307;1192.393;51;29;0;0;-0.60409;-0.687715;0.6135649;0.2303448;0.8724897;0;1;1;0;1;1;1;41;90;86
19;2;1071.553;595.3075;97;27;0;1;-0.6866701;0.3715387;0.6950268;0.06103897;0.8046641;0;0;0;1;1;0;0;6;34;67
22;2;1460.57;811.4279;46;58;0;0;-0.1899587;0.7750077;0.583386;0.7695365;0.7766505;1;1;1;1;1;0;0;5;41;54
22;2;350.0598;194.4776;83;49;0;1;-0.9700863;-0.007386088;-0.06036633;0.1573181;0.5576149;1;0;0;0;1;1;1;44;90;73
22;2;1609.549;894.194;40;27;1;1;-0.1702458;-0.6503797;0.05635345;0.8642675;0.5810272;1;0;0;0;1;1;0;42;89;79
22;2;2103.613;1168.674;44;52;1;0;0.8321803;-0.4641703;0.6794432;0.10058;0.9177736;0;1;0;1;1;0;0;9;51;45
18;1;1859.639;1033.133;88;54;1;1;0.1359488;0.7293273;-0.7971666;0.05961597;0.05737603;1;0;1;0;1;0;0;8;41;93
18;1;1791.577;995.3207;40;59;0;0;0.7802548;0.5529208;0.2008058;0.8909386;0.2257282;1;0;0;0;1;0;1;42;90;100
18;1;2013.235;1118.464;62;54;0;0;0.9706719;-0.2351148;0.2343773;0.5265591;0.4418361;1;1;0;0;1;0;0;23;67;100
18;1;853.6893;474.2718;68;45;0;1;-0.6952643;0.3518818;0.5686352;0.5733281;0.08747339;0;1;1;0;1;0;1;37;90;94
18;1;1137.772;632.0958;69;40;0;1;0.4622338;0.6663721;0.3352228;0.1953748;0.7230271;0;1;0;1;1;0;1;39;90;100
22;1;987.6218;548.6788;38;50;1;0;-0.1658846;-0.5333008;-0.7359859;0.6783884;0.5130138;1;1;0;0;1;1;0;23;73;62
22;1;951.513;528.6183;52;34;1;0;0.6011503;-0.3109601;-0.2650127;0.8504511;0.9797928;0;1;1;0;1;1;0;11;48;73
22;1;849.2614;471.8119;72;58;1;0;0.994128;-0.4229096;-0.673687;0.3232468;0.1533777;1;0;0;1;1;1;1;43;90;88
22;1;1868.1;1037.834;76;31;1;0;-0.8243818;-0.4710249;-0.3080779;0.7248456;0.3760348;0;0;1;1;1;1;0;29;78;55
22;1;451.2167;250.6759;55;24;0;0;0.01317322;-0.2153316;0.6123705;0.03077662;0.4289772;1;1;1;1;1;0;1;40;90;41
22;1;1937.114;1076.174;62;31;0;0;-0.658401;-0.5072885;-0.3709812;0.4289327;0.7521243;0;0;1;1;1;1;1;40;90;79
22;1;589.118;327.2878;65;58;1;0;-0.9567506;-0.4519368;0.4618213;0.2694424;0.9591829;1;0;0;1;1;1;1;42;90;82
22;1;606.407;336.8928;76;29;1;1;-0.01941812;0.2586248;0.7079144;0.9068658;0.6697865;1;1;0;0;1;1;1;43;90;94
22;1;411.2267;228.4593;83;39;0;0;0.2796921;-0.1311139;-0.6447964;0.1951338;0.6030663;0;1;0;1;1;0;1;39;90;78
